SampleMethod,SPP,Time,RMSE
0,4,2.59789,9.99130964981661
0,8,5.68892,9.982199944939028
0,16,11.686,9.950622630807619
0,32,24.0955,9.985997001357006
0,64,48.4739,9.73164145303198
0,128,96.7205,9.29262571034649
0,256,190.858,8.784763587957066
1,4,1.36137,9.277691882503248
1,8,2.98408,9.371499544027289
1,16,6.01926,9.442896360051119
1,32,11.6901,9.486515527413205
1,64,23.4254,9.520121818781757
1,128,46.4342,9.551504147592748
1,256,93.3918,9.559452080222698
2,4,2.17181,9.103868530587544
2,8,4.18335,8.750405651972603
2,16,8.13855,8.296525321326236
2,32,16.1039,7.716492318644768
2,64,32.112,6.971766009864093
2,128,64.9197,6.112785099009016
2,256,128.405,5.137509033965203
3,4,6.71993,7.975015151500759
3,8,14.0221,7.272613519733288
3,16,26.4636,6.40346658141192
3,32,51.1654,5.393837962245711
3,64,103.009,4.3616876830470614
3,128,206.467,3.4293566506032933
3,256,412.5,2.762880106244475
4,4,5.6946,8.212067509329048
4,8,10.8368,7.548618097717302
4,16,21.6207,6.701560210821004
4,32,44.5336,5.714181837680183
4,64,80.532,4.6350308640947695
4,128,158.708,3.653120178291023
4,256,316.543,2.890885741493491
